No.;Timecode In;Timecode Out;Subtitle
472;00:09:29:18;00:09:29:18;FABst6e zum Start des Abiturs.ÿÿ+¡T
473;00:09:29:18;00:09:33:02;"entschuldigte sich

fÈur die Panne zum Start des Abiturs."
474;00:09:33:04;00:09:33:04;FABst¬d Ministerpräsident Wüst erklärte,( ( so etU<i>
475;00:09:33:04;00:09:33:04;"FABst<was dürfe nicht passieren. ÿÿ%J"""
476;00:09:33:04;00:09:36:24;"MinisterprÈasident WÈust erklÈarte,

so etwas dÈurfe nicht passieren."
477;00:09:37:01;00:09:37:01;FABst­TEtwa 30.000 Schülerinnen und Schülerÿÿ28
478;00:09:37:01;00:09:39:09;Etwa 30.000 SchÈulerinnen und SchÈuler
479;00:09:39:11;00:09:39:11;FABst®d sollten heute ihre( ( ersten AbituõJ
480;00:09:39:11;00:09:39:11;FABst0rprüfungen schreiben.ÿÿ1J
481;00:09:39:11;00:09:42:21;"sollten heute ihre

ersten AbiturprÈufungen schreiben."
482;00:09:42:24;00:09:42:24;FABst¯d Das Schulministerium( ( sagte de6
483;00:09:42:24;00:09:42:24;FABst*n Start gestern abÿÿ7</i>¼
484;00:09:42:24;00:09:46:00;"Das Schulministerium

sagte den Start gestern ab"
485;00:09:46:02;00:09:46:02;FABst°d und begründete das mit Problemen( ( beim -D
486;00:09:46:02;00:09:46:02;FABst<Herunterladen der Aufgaben.ÿÿ%Ñþ
487;00:09:46:02;00:09:50:11;"und begrÈundete das mit Problemen

beim Herunterladen der Aufgaben."
488;00:09:52:18;00:09:52:18;FABst±d Keine Abiturprüfung( ( für die Schü3r
489;00:09:52:18;00:09:52:18;"FABst.lerinnen und Schüler;T$"
490;00:09:52:18;00:09:55:22;"Keine AbiturprÈufung

fÈur die SchÈulerinnen und SchÈuler"
491;00:09:55:24;00:09:55:24;FABst²Pder Gesamtschule Mitte in Münster.þ
492;00:09:55:24;00:09:58:01;der Gesamtschule Mitte in MÈunster.
493;00:09:58:03;00:09:58:03;"FABst³dSie hätten heute die Biologie-Klausur( ( ;,"
494;00:09:58:03;00:09:58:03;"FABst8 schreiben sollen.ÿÿ)
¸"
495;00:09:58:03;00:10:01:05;"Sie hÈatten heute die Biologie-Klausur

schreiben sollen."
496;00:10:01:07;00:10:01:07;FABst´D Gestern die Nachricht:!o
497;00:10:01:07;00:10:02:16;Gestern die Nachricht:
498;00:10:02:18;00:10:02:18;FABstµd Wegen Computerproblemen ( ( werden<i>
499;00:10:02:18;00:10:02:18;FABst. die Abiturklausurenÿÿ3Í
500;00:10:02:18;00:10:05:16;"Wegen Computerproblemen

werden die Abiturklausuren"
501;00:10:05:18;00:10:05:18;FABst¶dvon Mittwoch auf Freitag geschoben -( ( Ô
502;00:10:05:18;00:10:05:18;FABst0 in ganz NRW.ÿÿ1¼
503;00:10:05:18;00:10:08:16;"von Mittwoch auf Freitag geschoben -

in ganz NRW."
504;00:10:08:18;00:10:08:18;FABst·d Ich wollte heute anfangen,( ( für das:
505;00:10:08:18;00:10:08:18;FABst6 nächste Fach zu lernen.3&
506;00:10:08:18;00:10:12:04;"Ich wollte heute anfangen,

fÈur das nÈachste Fach zu lernen."
507;00:10:12:06;00:10:12:06;FABst¸F Das wird jetzt knapper.dú
508;00:10:12:06;00:10:14:03;Das wird jetzt knapper.
