No.;Timecode In;Timecode Out;Subtitle
32;00:00:45:15;00:00:45:15;FABstd Heizen mit Erdgas oder Heizöl ( ( in DeõD
33;00:00:45:15;00:00:45:15;FABst<utschland bisher die Regel.-¯è
34;00:00:45:15;00:00:49:11;"Heizen mit Erdgas oder HeizÈol Ð

in Deutschland bisher die Regel."
35;00:00:49:19;00:00:49:19;FABstd Mehr als 80 % der Wärme( ( stammt ó.
36;00:00:49:19;00:00:49:19;"FABst2aus fossilen Energien.7
"""
37;00:00:49:19;00:00:52:24;"Mehr als 80 % der WÈarme

stammt aus fossilen Energien."
38;00:00:53:12;00:00:53:12;FABstD Das soll sich ändern.ÿÿT.
39;00:00:53:12;00:00:55:04;Das soll sich Èandern.
40;00:00:55:06;00:00:55:06;FABstL Ab 2024 soll jede neue Heizungÿÿû¼
41;00:00:55:06;00:00:57:07;Ab 2024 soll jede neue Heizung
42;00:00:57:09;00:00:57:09;FABstd zu 65 % mit erneuerbaren Energien( ( Cæ
43;00:00:57:09;00:00:57:09;FABst0 betrieben werden.ÿÿ1Ì
44;00:00:57:09;00:01:00:23;"zu 65 % mit erneuerbaren Energien

betrieben werden."
45;00:01:02:21;00:01:02:21;FABstd Aber es gilt:( ( keine generellZÖ
46;00:01:02:21;00:01:02:21;FABst,e Austauschpflicht.ÿÿ5¬ø
47;00:01:02:21;00:01:05:18;"Aber es gilt:

keine generelle Austauschpflicht."
48;00:01:06:05;00:01:06:05;FABstd Kaputte alte Heizungen( ( können¬
49;00:01:06:05;00:01:06:05;FABst* repariert werden.ÿÿ7¯d
50;00:01:06:05;00:01:08:24;"Kaputte alte Heizungen

kÈonnen repariert werden."
51;00:01:09:06;00:01:09:06;FABstF Ist dies nicht möglich,ÿÿth
52;00:01:09:06;00:01:10:21;Ist dies nicht mÈoglich,
53;00:01:10:23;00:01:10:23;FABstd gelten Übergangsfristen( ( fÐÎ
54;00:01:10:23;00:01:10:23;FABst$ür den Umstieg.ÿÿ=o
55;00:01:10:23;00:01:13:08;"gelten ÈUbergangsfristen

fÈur den Umstieg."
56;00:01:14:05;00:01:14:05;FABstd Keine Pflicht umzusteigen ( ( gibt e/
57;00:01:14:05;00:01:14:05;FABst2s für über 80-Jährige.ÿÿ/Z
58;00:01:14:05;00:01:17:11;"Keine Pflicht umzusteigen

gibt es fÈur Èuber 80-JÈahrige."
59;00:01:17:21;00:01:17:21;FABstd Dem Sozialverband( ( reichen die1V
60;00:01:17:21;00:01:17:21;FABst( Ausnahmen nicht.ÿÿ9ì¦
