Timecode In,Timecode Out,Subtitle
00:10:28:10,00:10:32:09,Ausserdem haben wir durch das neue Gesetz
00:10:33:04,00:10:35:15,eine neue Foerderung etabliert.
00:10:36:01,00:10:40:06,"Die koennen Sie auch fuer Holzpellet-Heizungen verwenden,"
00:10:40:15,00:10:43:24,was eine neue Foerderung etabliert.
00:10:46:05,00:10:49:01,Es hakt auch bei den Sozialwohnungen.
00:10:49:03,00:10:52:23,"Sie wollten, dass 100.000 pro Jahr entstehen."
00:10:53:13,00:10:56:00,Gebaut worden sind 25.000.
00:10:57:03,00:11:00:09,"Muessen Sie da nicht noch mehr Geld reinstecken,"
00:11:00:12,00:11:02:20,um die Luecke zu schliessen?
00:11:03:14,00:11:07:08,"Ihre Zahl ist aus 2021, von der alten Regierung."
00:11:08:08,00:11:12:05,Das war ... Aber jetzt sind Sie ja Ministerin.
00:11:13:11,00:11:16:14,"Ja, aber die Zahl, die Sie genannt haben,"
00:11:16:16,00:11:20:01,war die Zahl von Minister Seehofer.
00:11:21:09,00:11:25:09,"Wir haben seitdem die Mittel erhoeht auf 14,5 Mrd."
00:11:27:17,00:11:31:03,Die Laender geben selber auch Mittel ein.
00:11:32:05,00:11:33:22,"Ich bin sicher,"
00:11:33:24,00:11:37:22,dass wir einen Anstieg der Sozialwohnungen sehen werden.
00:11:38:09,00:11:41:10,Erste Bundeslaender haben es geschafft:
00:11:41:12,00:11:44:18,"Es fallen nicht mehr Wohnungen aus der Bindung,"
00:11:44:20,00:11:48:09,"sondern es stehen neue zur Verfuegung, z.B. Bremen."
00:11:48:11,00:11:51:24,Sie haben sich mit Baubranchen-Vertretern getroffen.
00:11:52:01,00:11:55:23,Die fordern ein Sondervermoegen von 50 Mrd. Euro.
00:11:56:00,00:11:59:17,"Lohnt es, da mit dem Finanzminister drueber zu sprechen?"
00:12:01:03,00:12:04:18,Sondervermoegen klingt ja immer nach Reichtum -
00:12:06:02,00:12:08:10,ist aber zusaetzliche Schulden.
00:12:08:12,00:12:11:12,Wir sind nicht mehr in den Corona-Jahren.
00:12:11:14,00:12:14:23,"Daher muessen wir mit dem Geld auskommen, das der Staat hat."
00:12:14:24,00:12:16:18,Die Schuldenbremse gilt.
00:12:16:20,00:12:20:16,Ich spreche deshalb mit Christian Lindner ueber eine Neubaufoerderung
00:12:20:18,00:12:23:22,"fuer Familien, Genossenschaften und Private."
00:12:23:24,00:12:28:24,Ein Sondervermoegen hiesse zu Lasten unserer Kinder Schulden aufzunehmen.
00:12:29:00,00:12:30:08,Das ist nicht gut.
00:12:30:11,00:12:32:17,Vielen Dank fuer das Gespraech.
00:12:32:19,00:12:34:10,Sehr gerne.
00:12:35:17,00:12:38:13,Das Gespraech haben wir aufgezeichnet.
00:12:38:15,00:12:42:01,Die Wohnungsmisere und der Anteil der Regierung daran.
00:12:42:03,00:12:44:23,Die Meinung von Holger Ohmstedt vom NDR.
00:12:46:14,00:12:50:22,"Klara Geywitz ist in meinen Augen die Ministerin der Ampelkoalition,"
00:12:50:24,00:12:55:05,die am vollmundigsten Ziele setzt und sie dann krachend verfehlt.
00:12:55:07,00:12:59:16,Zum Amtsantritt versprach sie 400.000 neue Wohnungen jaehrlich -
00:12:59:18,00:13:01:21,und wo stehen wir jetzt?
00:13:02:08,00:13:05:13,Sie hat bei Wohnungssuchenden Hoffnungen geschuert
00:13:05:15,00:13:09:16,"und den Eindruck erweckt, ein Bauboom liesse sich staatlich verordnen."
00:13:09:17,00:13:12:17,"Damit hat sie Vertrauen in die Politik geschwaecht,"
00:13:12:19,00:13:16:17,denn bezahlbares und sicheres Wohnen ist ein Grundbeduerfnis.
00:13:16:19,00:13:21:04,Der Traum vom eigenen Haeuschen gar ist so aussichtslos wie lange nicht.
00:13:21:07,00:13:25:19,Dabei gehoerte Wohneigentum lange Zeit zum zentralen Aufstiegsversprechen
00:13:25:21,00:13:27:16,fuer die Bundesbuerger.
00:13:27:17,00:13:30:12,Mit dieser Koalition gilt das nicht mehr.
00:13:30:14,00:13:31:23,Es stimmt schon:
00:13:32:00,00:13:36:05,Das Bundesbauministerium kann kein Bauland in den Kommunen ausweisen
00:13:36:07,00:13:39:23,und auch nicht die 16 Landesbauordnungen entruempeln.
00:13:40:00,00:13:44:09,"Es ist machtlos, wenn Zinsen steigen und Baumaterialien teurer werden."
00:13:44:11,00:13:46:24,Doch wozu brauchen wir es dann?
00:13:47:01,00:13:50:03,Gegen die durch Zuwanderung verstaerkte Wohnungsnot
00:13:50:05,00:13:53:17,hat dieses Ministerium keine wirkungsvollen Rezepte.
00:13:53:19,00:13:55:18,"Die Ministerin schafft es nicht,"
00:13:55:20,00:13:59:02,Bauen durch weniger Regularien billiger zu machen.
00:13:59:03,00:14:01:06,Schlimmer noch:
00:14:01:08,00:14:04:08,Auch sie versucht durch immer neue Bauvorschriften
00:14:04:10,00:14:07:08,die Energiewende mit der Brechstange durchzusetzen.
00:14:07:10,00:14:08:23,Trotz der hohen Inflation.
00:14:09:00,00:14:11:23,Der Anspruch dieser Regierung hat jeden Tag weniger
00:14:12:00,00:14:16:11,"mit den Moeglichkeiten der Menschen zu tun, das Ganze auch zu bezahlen."
00:14:18:13,00:14:21:08,Die Meinung von Holger Ohmstedt.
00:14:22:09,00:14:25:18,"Wenn sie es koennen, arbeiten Menschen mit Handicap"
00:14:25:20,00:14:29:00,oft in Werkstaetten fuer Menschen mit Behinderungen.
00:14:29:02,00:14:32:19,"Da, wo sie unter sich sind und betreut werden koennen."
00:14:33:04,00:14:37:03,Aber viele wuerden das nicht brauchen oder wollen es auch nicht.
00:14:37:05,00:14:40:21,"Ab einer bestimmten Groesse sind Firmen eigentlich verpflichtet,"
00:14:40:23,00:14:43:13,Menschen mit Handicap einzustellen.
00:14:44:01,00:14:47:18,Heute beschloss der Bundestag einen Gesetzentwurf fuer
00:14:47:20,00:14:52:21,die bessere Integration von Menschen mit Behinderung in den Arbeitsmarkt.
00:14:53:05,00:14:55:00,Christian Kretschmer.
00:14:56:01,00:14:58:24,So schnell wie er schneidet hier kaum einer.
00:14:59:02,00:15:02:18,"Julian Stockhausen ist 24, hat das Downsyndrom und:"
00:15:03:06,00:15:05:00,seinen Traumjob.
00:15:05:02,00:15:09:13,Nicht nur um das Muesli kuemmert er sich in einer Mainzer Hotelkueche.
00:15:11:24,00:15:15:07,"Mir gefaellt das Schneiden, das Anrichten."
00:15:16:16,00:15:19:20,Nette Kollegen hast du? Nette Kollegen hab ich.
00:15:20:11,00:15:22:11,Und Kolleginnen auch.
00:15:22:22,00:15:25:10,Im Hotel ist er unbefristet angestellt.
00:15:25:12,00:15:28:11,Auch wenn Julian bei manchem Hilfe braucht:
00:15:28:13,00:15:31:20,"Er sei ein Kollege wie jeder andere, sagen sie."
00:15:32:24,00:15:36:10,Julian ist fuer mich eine vollwertige Kraft.
00:15:36:12,00:15:39:24,"Es gibt keinerlei Bedenken, wo ich sagen wuerde,"
00:15:40:01,00:15:42:13,das wuerde ich ihm nicht zutrauen.
00:15:42:24,00:15:44:11,Gelebte Inklusion:
00:15:44:13,00:15:48:11,"Sie ist haeufig noch die Ausnahme, obwohl es Vorschiften gibt."
00:15:48:13,00:15:51:08,Arbeitgeber mit mindestens 20 Arbeitsplaetzen
00:15:51:10,00:15:54:16,muessen per Gesetz schwerbehinderte Menschen einstellen.
00:15:54:18,00:15:57:12,Doch jedes vierte Unternehmen beschaeftigt nicht
00:15:57:14,00:15:59:14,einen einzigen Schwerbehinderten.
00:15:59:16,00:16:03:22,"Diese Unternehmen muessen kuenftig mehr Geld an die Integrationsaemter zahlen,"
00:16:03:24,00:16:06:05,so hat es der Bundestag beschlossen.
00:16:06:07,00:16:10:19,Das kann im Jahr 8000 Euro je nicht besetztem Arbeitsplatz ausmachen.
00:16:11:01,00:16:14:15,Sozialverbaende finden das richtig - Arbeitgeber nicht.
00:16:14:17,00:16:17:08,Von der Arbeitgebervereinigung BDA heisst es:
00:16:17:10,00:16:19:20,Durch die Erhoehung der Abgaben ...
00:16:30:20,00:16:34:08,Dabei kommt der Bundestag den Arbeitgebern auch entgegen:
00:16:34:10,00:16:38:06,"Unternehmen, die vorsaetzlich keine Schwerbehinderten einstellen,"
00:16:38:08,00:16:40:23,muessen nun zwar hoehere Abgaben zahlen.
00:16:41:00,00:16:44:02,Aber sie begehen keine Ordnungswidrigkeit mehr.
00:16:44:04,00:16:47:05,Bislang drohten Strafen von 10.000 Euro.
00:16:47:14,00:16:52:08,"Das sei ein Skandal, sagt der Arbeitsrechtler Franz Josef Duewell."
00:16:52:10,00:16:55:05,Inklusionsverweigerer wuerden belohnt.
00:16:55:07,00:16:58:11,"Besonders schlimm ist, dass diejenigen,"
00:16:58:13,00:17:02:07,die sich jetzt nach dem Gesetz freikaufen koennen:
00:17:02:09,00:17:04:22,"Dass die auch noch sagen koennen,"
00:17:04:24,00:17:08:18,ich interessiere mich nicht fuer schwerbehinderte Menschen.
00:17:08:20,00:17:10:20,Ich will die nicht beschaeftigen.
00:17:10:22,00:17:12:21,"Sie koennen nicht verfolgt werden,"
00:17:12:23,00:17:15:10,weil die Ordnungswidrigkeit gestrichen ist.
00:17:15:12,00:17:19:03,"Im Mainzer Hotel sehen sie die Inklusion als Bereicherung,"
00:17:19:05,00:17:22:03,auch wenn es Betreuung und Geduld brauche.
00:17:22:12,00:17:25:18,Julian hat nach sieben Stunden in der Kueche Feierabend.
00:17:25:20,00:17:29:05,"Morgen um 8 Uhr geht es weiter, in seinem Traumjob."
00:17:31:22,00:17:35:17,In der Ukraine gab es heute ueberraschenden Besuch:
00:17:35:19,00:17:39:21,In Kiew traf NATO-Generalsekretaer Jens Stoltenberg ein.
00:17:39:23,00:17:43:12,Zu seiner ersten Visite in der Ukraine seit Kriegsbeginn.
00:17:43:14,00:17:46:05,"Dem Land stehe ein Platz in der NATO zu,"
00:17:46:07,00:17:50:18,sagte er dabei und versprach Unterstuetzung auf dem Weg dorthin.
00:17:50:20,00:17:54:08,"Im Sueden des Landes, rund um Odessa, ist man vorbereitet,"
00:17:54:10,00:17:58:20,sollte die Stadt angegriffen werden: Schuetzengraeben sind ausgehoben.
00:17:59:08,00:18:02:17,Derzeit wird aber vor allem im Osten gekaempft.
00:18:02:19,00:18:05:13,Aus den von den Russen besetzten Gebieten
00:18:05:15,00:18:09:04,kamen zehntausende Gefluechtete nach Odessa.
00:18:10:11,00:18:12:14,"Weil der Wohnraum knapp ist,"
00:18:12:16,00:18:15:14,wurden viele von ihnen provisorisch untergebracht.
00:18:15:16,00:18:16:20,Judith Schacht.
00:18:18:05,00:18:20:09,Fruehstueck auf dem Hotelzimmer.
00:18:20:11,00:18:23:23,Spiegelei und Brot - das mag ihr Enkel Sascha am liebsten.
00:18:24:00,00:18:28:08,Antonina Latisch braet das Ei auf der provisorischen Kochplatte.
00:18:29:08,00:18:34:11,"Das sind keine guten Bedingungen, wir koennen auch nirgends waschen."
00:18:36:18,00:18:41:15,"Seit einem Jahr wohnt sie mit Mann, Enkel und Sohn im Hotel Arkadia."
00:18:41:17,00:18:44:22,Die kleine Miete koennen sie von der Rente zahlen.
00:18:44:24,00:18:48:10,"Ihr Hab und Gut wurde von russischen Truppen zerstoert,"
00:18:48:12,00:18:51:08,als die ihre Heimatstadt besetzt haben.
00:18:53:20,00:18:57:11,"In das Haus meines Sohnes ist eine Granate eingeschlagen,"
00:18:57:13,00:19:00:16,"die Waende eingestuerzt, die Fenster zerbrochen."
00:19:00:18,00:19:03:10,Alles wurde gestohlen.
00:19:05:09,00:19:08:00,Videos auf russischen Social-Media-Kanaelen
00:19:08:02,00:19:10:18,zeigen die Zerstoerung in Volnovacha.
00:19:10:20,00:19:14:02,"Wer konnte, ist aus den besetzten Gebieten geflohen."
00:19:14:04,00:19:18:14,200.000 Vertriebene sollen nach Odessa im Sueden gekommen sein.
00:19:19:20,00:19:22:11,Hier ist der Wohnraum mittlerweile knapp.
00:19:22:13,00:19:27:00,"Allerdings stehen die Hotels oft leer, weil keine Touristen kommen."
00:19:27:14,00:19:29:09,"Jetzt haben wir Krieg,"
00:19:29:11,00:19:33:09,aber trotzdem kostet Wohnraum in Odessa sehr viel.
00:19:34:17,00:19:39:11,Wir haben die Moeglichkeit den Wohnraum billiger zu geben.
00:19:43:07,00:19:46:11,Im Hotel Arkadia wohnen 200 Vertriebene.
00:19:46:13,00:19:50:10,"Fuer Hotels geringe, aber ueberlebenswichtige Einnahmen."
00:19:51:03,00:19:54:06,Vermittelt hat die Loesung die Stadt Odessa.
00:19:54:16,00:19:56:20,ÈUber 85 Hotels und Hostels
00:19:56:22,00:20:00:14,stellen die Hilfe fuer vertriebene Ukrainer zur Verfuegung.
00:20:00:16,00:20:04:24,"Das ist kein Geschaeft, sondern eine soziale Verantwortung."
00:20:06:19,00:20:09:15,Noch unterstuetzt die Stadt die Vertriebenen
00:20:09:17,00:20:13:14,"mit Hilfsguetern und Geld, aber der Etat ist erschoepft."
00:20:17:22,00:20:20:23,Die Stadt wird die Hilfe nach und nach einstellen.
00:20:21:00,00:20:24:10,"Das wird nicht nur hier, sondern landesweit passieren."
