Timecode In,Timecode Out,Subtitle,Program,Date
00:14:23:11,00:14:26:14,ÈAmari Air Base an der Ostflanke der NATO.,tagesthemen,15.03.23
00:14:26:19,00:14:29:18,"Weil Estland selbst keine Kampfflugzeuge hat,",tagesthemen,15.03.23
00:14:29:20,00:14:33:15,starten hier die Bundeswehr und die britische Royal Air Force.,tagesthemen,15.03.23
00:14:33:17,00:14:37:03,"Immer dann, wenn sich ueber der Ostsee Flugobjekte naehern,",tagesthemen,15.03.23
00:14:37:05,00:14:40:16,die nirgends angemeldet sind und auf Funk nicht reagieren.,tagesthemen,15.03.23
00:14:40:20,00:14:42:10,Geisterflieger also.,tagesthemen,15.03.23
00:14:43:04,00:14:46:08,Binnen 15 Minuten koennen wir alarmiert werden,tagesthemen,15.03.23
00:14:46:10,00:14:49:05,und muessen dann einsatzbereit in der Luft sein.,tagesthemen,15.03.23
00:14:49:07,00:14:52:21,"Was die Piloten zu sehen bekommen, ist meistens das gleiche.",tagesthemen,15.03.23
00:14:52:23,00:14:55:23,"Hier handelt es sich um militaerische Flugzeuge,",tagesthemen,15.03.23
00:14:56:00,00:14:58:07,russische Flugzeuge in diesem Raum.,tagesthemen,15.03.23
00:14:58:09,00:15:01:13,"Wir sind erst ein, zwei Kilometer hinter dem Flugzeug",tagesthemen,15.03.23
00:15:01:15,00:15:05:10,"und naehern uns dann etwas an, um das Flugzeug genau zu erkennen.",tagesthemen,15.03.23
00:15:05:12,00:15:08:10,"Der Mann, der uns das sagt, ist einer der Piloten",tagesthemen,15.03.23
00:15:08:14,00:15:11:15,und der Kontingentfuehrer der Bundeswehr in Estland.,tagesthemen,15.03.23
00:15:11:17,00:15:14:03,Christoph Hachmeister hat kein Verstaendnis,tagesthemen,15.03.23
00:15:14:07,00:15:16:19,fuer die russischen Geisterflieger.,tagesthemen,15.03.23
00:15:17:10,00:15:20:24,"Die Top-Gun-Szenen, dass man sich wild umeinander dreht,",tagesthemen,15.03.23
00:15:21:03,00:15:22:15,passiert hier nicht.,tagesthemen,15.03.23
00:15:22:17,00:15:24:19,Man sieht die anderen Piloten.,tagesthemen,15.03.23
00:15:24:21,00:15:31:24,"Es gibt auch manchmal eine Antwort, dass einer die Hand hebt.",tagesthemen,15.03.23
00:15:32:21,00:15:35:16,Ihre Befehle bekommen Hachmeister und Piloten,tagesthemen,15.03.23
00:15:35:18,00:15:38:18,auf 15 anderen Flugplaetzen aus Deutschland.,tagesthemen,15.03.23
00:15:38:20,00:15:40:08,Uedem am Niederrhein:,tagesthemen,15.03.23
00:15:40:10,00:15:43:05,Rund 100 Soldaten haben hier den NATO-Luftraum,tagesthemen,15.03.23
00:15:43:07,00:15:46:10,noerdlich der Alpen im Blick Ð von Island bis Estland.,tagesthemen,15.03.23
00:15:46:12,00:15:49:05,"Und simulieren fuer uns einen typischen Fall,",tagesthemen,15.03.23
00:15:49:07,00:15:53:11,wobei sensible Daten auf den Monitoren ausgeblendet sind.,tagesthemen,15.03.23
00:15:55:08,00:15:58:12,"""Vorwarnung: Unbekanntes Flugzeug aus Kaliningrad,",tagesthemen,15.03.23
00:15:58:16,00:16:00:05,"vielleicht eine Su-27.""",tagesthemen,15.03.23
00:16:00:09,00:16:03:19,Das meldet der Operation Assistant aus Lettland.,tagesthemen,15.03.23
00:16:03:21,00:16:05:22,"""Lassen sie ÈAmari aufsteigen"",",tagesthemen,15.03.23
00:16:05:24,00:16:09:08,befiehlt der daenische Leiter des Gefechtsstands.,tagesthemen,15.03.23
00:16:10:21,00:16:14:12,"Kurz darauf heftet sich der Kampfjet an das Flugobjekt,",tagesthemen,15.03.23
00:16:14:14,00:16:19:00,um den NATO-Luftraum zu schuetzen und zivile Flugzeuge vor Zusammenstoessen.,tagesthemen,15.03.23
