,Content Type,Date,Program,Speaker Description,Speaker Name,Subtitle,affiliation,Processed
2788,O-Ton,2023-07-12,tagesthemen,was aktuell gerade,"Carsten Linnemann (""Am Ende des Tages ... dürfen wir nicht auf den Zeitgeist schauen","Wir brauchen eine eigene Erkennungsmelodie,",Expert,brauchen eigen Erkennungsmelodie
2789,O-Ton,2023-07-12,tagesthemen,was aktuell gerade,"Carsten Linnemann (""Am Ende des Tages ... dürfen wir nicht auf den Zeitgeist schauen",die Bock auf Zukunft macht.,Expert,Bock Zukunft
2790,O-Ton,2023-07-12,tagesthemen,was aktuell gerade,"Carsten Linnemann (""Am Ende des Tages ... dürfen wir nicht auf den Zeitgeist schauen","Und fuenf bis zehn Themen,",Expert,Fuenf zehn Thema
2791,O-Ton,2023-07-12,tagesthemen,was aktuell gerade,"Carsten Linnemann (""Am Ende des Tages ... dürfen wir nicht auf den Zeitgeist schauen",die uns unterscheidbar machen von anderen Parteien.,Expert,unterscheidbar Partei
2792,O-Ton,2023-07-12,tagesthemen,was aktuell gerade,"Carsten Linnemann (""Am Ende des Tages ... dürfen wir nicht auf den Zeitgeist schauen",Dann kommen wir wieder Richtung 30 Prozent.,Expert,kommen Richtung 30 Prozent
2793,O-Ton,2023-07-12,tagesthemen,was aktuell gerade,"Carsten Linnemann (""Am Ende des Tages ... dürfen wir nicht auf den Zeitgeist schauen","Sie haben mal gesagt, Sie wollen auf zwei DIN-A4-Seiten sagen,",Expert,mal sagen zwei dina4seit sagen
2794,O-Ton,2023-07-12,tagesthemen,was aktuell gerade,"Carsten Linnemann (""Am Ende des Tages ... dürfen wir nicht auf den Zeitgeist schauen",wofuer die CDU steht.,Expert,Wofuer CDU stehen
2795,O-Ton,2023-07-12,tagesthemen,was aktuell gerade,"Carsten Linnemann (""Am Ende des Tages ... dürfen wir nicht auf den Zeitgeist schauen",Geht's jetzt schon in zwei Saetzen?,Expert,gehts schon zwei Saetz
2796,O-Ton,2023-07-12,tagesthemen,Thüringen und Sachsen: Dass wir,Carsten Linnemann (zu hohen Umfragewerten der AfD in Brandenburg,"Aber eine Volkspartei muss sich auf die Kernthemen konzentrieren,",Expert,Volkspartei Kerntheme konzentrieren
2797,O-Ton,2023-07-12,tagesthemen,was aktuell gerade,"Carsten Linnemann (""Am Ende des Tages ... dürfen wir nicht auf den Zeitgeist schauen",Wie geht die Erkennungsmelodie?,Expert,gehen erkennungsmelodie
